brand,year,season,num,r,g,b,a
chanel,2019,spring,79,204,136,120,253
chanel,2019,spring,79,166,112,102,251
chanel,2019,spring,69,222,163,143,252
chanel,2019,spring,69,205,139,115,253
chanel,2019,spring,69,169,114,93,252
chanel,2019,spring,69,30,30,42,253
chanel,2018,spring,13,235,213,216,253
chanel,2018,spring,13,175,155,153,248
chanel,2018,spring,13,157,111,104,252
chanel,2018,spring,13,208,172,162,253
chanel,2018,fall,54,225,217,207,253
chanel,2018,fall,54,172,161,146,252
chanel,2018,fall,54,158,139,114,251
chanel,2018,fall,54,109,97,83,252
chanel,2018,fall,44,37,37,35,253
chanel,2018,fall,44,227,226,219,253
chanel,2018,fall,44,89,92,92,252
chanel,2018,fall,44,58,68,77,254
chanel,2021,spring,65,214,173,155,253
chanel,2021,spring,65,153,113,95,251
chanel,2021,spring,65,12,13,16,253
chanel,2021,spring,65,224,196,182,253
chanel,2020,spring,5,165,101,83,253
chanel,2020,spring,5,93,87,93,250
chanel,2020,spring,5,88,45,45,253
chanel,2020,spring,5,34,31,38,253
chanel,2019,fall,46,236,227,222,253
chanel,2019,fall,46,209,19,35,254
chanel,2019,fall,46,32,31,36,253
chanel,2019,fall,46,106,108,209,254
chanel,2019,fall,56,217,213,207,237
chanel,2019,fall,56,16,21,25,157
chanel,2019,fall,56,20,30,44,247
chanel,2020,spring,39,223,221,222,252
chanel,2020,spring,39,42,71,115,253
chanel,2020,spring,39,28,51,85,253
chanel,2020,spring,39,51,88,139,254
chanel,2019,fall,60,168,167,166,250
chanel,2019,fall,60,85,89,91,253
chanel,2019,fall,60,27,31,32,253
chanel,2019,fall,60,219,220,221,254
chanel,2019,fall,70,34,31,25,253
chanel,2019,fall,70,223,224,223,253
chanel,2019,fall,70,198,140,117,254
chanel,2019,fall,70,169,112,90,253
chanel,2020,spring,29,212,173,160,253
chanel,2020,spring,29,151,154,163,253
chanel,2020,spring,29,91,94,103,253
chanel,2020,spring,29,29,32,35,252
chanel,2018,fall,72,97,85,79,252
chanel,2018,fall,72,238,228,217,252
chanel,2018,fall,72,232,172,150,253
chanel,2018,fall,72,29,30,32,253
chanel,2018,fall,62,146,149,154,253
chanel,2018,fall,62,37,35,36,253
chanel,2018,fall,62,88,86,89,253
chanel,2018,fall,62,57,60,66,254
chanel,2021,spring,43,153,113,102,252
chanel,2021,spring,43,16,19,24,253
chanel,2021,spring,43,201,162,150,253
chanel,2021,spring,43,181,146,136,252
chanel,2021,spring,53,207,169,152,254
chanel,2021,spring,53,171,151,146,244
chanel,2021,spring,53,94,83,82,246
chanel,2021,spring,53,20,25,31,253
chanel,2018,spring,25,221,221,220,249
chanel,2018,spring,25,167,159,157,245
chanel,2018,spring,25,33,37,39,247
chanel,2018,spring,25,84,86,89,249
chanel,2018,spring,35,212,217,221,253
chanel,2018,spring,35,201,175,167,253
chanel,2018,spring,35,88,93,105,252
chanel,2018,spring,35,162,162,165,250
chanel,2020,spring,80,232,222,221,253
chanel,2020,spring,80,79,76,79,253
chanel,2020,spring,80,60,60,65,253
chanel,2020,spring,80,34,34,37,253
chanel,2020,fall,8,168,161,149,252
chanel,2020,fall,8,24,29,28,253
chanel,2020,fall,8,229,218,201,253
chanel,2020,fall,8,97,94,87,252
chanel,2020,fall,48,220,173,143,253
chanel,2020,fall,48,144,147,146,252
chanel,2020,fall,48,18,23,23,253
chanel,2020,fall,48,97,98,98,251
chanel,2020,fall,58,171,169,165,252
chanel,2020,fall,58,147,109,89,252
chanel,2020,fall,58,226,224,220,253
chanel,2020,fall,58,207,174,160,253
chanel,2018,spring,47,210,223,224,253
chanel,2018,spring,47,154,169,169,251
chanel,2018,spring,47,202,164,149,253
chanel,2018,spring,47,177,202,206,253
chanel,2018,spring,57,222,213,213,253
chanel,2018,spring,57,113,139,166,253
chanel,2018,spring,57,150,158,171,252
chanel,2018,spring,57,87,114,145,253
chanel,2021,spring,21,203,159,144,253
chanel,2021,spring,21,8,43,107,253
chanel,2021,spring,21,218,216,224,253
chanel,2021,spring,21,11,54,137,254
chanel,2021,spring,31,161,153,160,252
chanel,2021,spring,31,154,113,98,252
chanel,2021,spring,31,99,88,93,252
chanel,2021,spring,31,32,30,36,253
chanel,2018,fall,10,161,139,113,253
chanel,2018,fall,10,139,117,91,253
chanel,2018,fall,10,112,95,79,253
chanel,2018,fall,10,175,164,149,253
chanel,2021,spring,6,209,169,154,253
chanel,2021,spring,6,34,33,39,253
chanel,2021,spring,6,158,152,155,252
chanel,2021,spring,6,93,90,95,253
