brand,year,season,num,r,g,b,a
burberry-prorsum,2021,spring,30,34,27,24,249
givenchy,2021,spring,13,175,163,144,252
givenchy,2021,spring,13,202,180,159,253
givenchy,2021,spring,13,97,92,82,253
givenchy,2021,spring,13,32,42,39,253
alexander-mcqueen,2021,spring,4,221,209,197,253
alexander-mcqueen,2021,spring,4,220,201,177,253
alexander-mcqueen,2021,spring,4,210,177,153,253
alexander-mcqueen,2021,spring,4,30,34,46,253
koche,2021,spring,47,151,107,88,253
koche,2021,spring,47,12,19,32,253
koche,2021,spring,47,86,52,36,252
koche,2021,spring,47,19,40,73,253
versace,2021,spring,7,229,227,240,253
versace,2021,spring,7,96,89,95,252
versace,2021,spring,7,160,156,167,251
versace,2021,spring,7,25,20,21,252
vera-wang,2021,spring,6,199,199,199,253
vera-wang,2021,spring,6,161,111,83,253
vera-wang,2021,spring,6,172,170,169,252
vera-wang,2021,spring,6,13,10,9,250
vera-wang,2021,spring,21,196,178,175,239
vera-wang,2021,spring,21,177,158,156,231
vera-wang,2021,spring,21,155,110,108,234
vera-wang,2021,spring,21,32,6,4,251
dsquared,2021,fall,43,237,199,176,254
dsquared,2021,fall,43,225,177,150,253
dsquared,2021,fall,43,207,224,233,254
dsquared,2021,fall,43,181,204,220,253
versace,2021,spring,21,203,115,82,254
versace,2021,spring,21,18,15,14,251
versace,2021,spring,21,158,84,44,254
versace,2021,spring,21,96,44,24,253
adam-lippes,2021,spring,16,231,225,219,253
adam-lippes,2021,spring,16,165,156,150,252
adam-lippes,2021,spring,16,106,90,83,252
adam-lippes,2021,spring,16,31,26,24,251
dsquared,2021,fall,53,244,213,162,253
dsquared,2021,fall,53,233,160,105,252
dsquared,2021,fall,53,229,180,141,253
dsquared,2021,fall,53,35,16,6,251
versace,2021,spring,31,229,219,6,243
versace,2021,spring,31,155,89,41,251
versace,2021,spring,31,92,37,16,245
versace,2021,spring,31,24,18,15,239
sandro,2021,spring,17,207,181,148,250
sandro,2021,spring,17,220,196,162,250
sandro,2021,spring,17,21,20,22,154
sandro,2021,spring,17,16,14,14,101
valentino,2021,spring,12,217,161,157,253
valentino,2021,spring,12,155,107,91,252
valentino,2021,spring,12,22,25,28,253
valentino,2021,spring,12,178,136,107,253
bevza,2021,spring,15,215,171,144,253
bevza,2021,spring,15,164,111,84,252
bevza,2021,spring,15,13,23,35,253
bevza,2021,spring,15,202,146,112,253
isabel-marant,2021,spring,40,227,221,225,253
isabel-marant,2021,spring,40,156,151,162,253
isabel-marant,2021,spring,40,27,25,34,253
isabel-marant,2021,spring,40,91,88,97,253
prada,2021,spring,9,235,219,213,254
prada,2021,spring,9,28,17,10,252
prada,2021,spring,9,212,176,162,252
prada,2021,spring,9,206,146,95,253
louis-vuitton,2021,spring,41,162,107,86,253
louis-vuitton,2021,spring,41,218,216,210,253
louis-vuitton,2021,spring,41,88,82,84,252
louis-vuitton,2021,spring,41,33,32,35,253
max-mara,2021,spring,11,205,171,145,254
max-mara,2021,spring,11,181,157,144,253
